mode,th_low,th_high,n,acc,prec,rec,f1,tp,fp,fn,tn,n_uncertain
"1D_MAX(extract,rag)",-1.0,-1.0,25,0.6,0.6,1.0,0.75,15,10,0,0,0
"1D_MAX(extract,rag)",-1.0,-0.75,25,0.6,0.6,1.0,0.75,15,10,0,0,0
"1D_MAX(extract,rag)",-1.0,-0.5,25,0.6,0.6,1.0,0.75,15,10,0,0,0
"1D_MAX(extract,rag)",-1.0,-0.25,25,0.6,0.6,1.0,0.75,15,10,0,0,0
"1D_MAX(extract,rag)",-1.0,0.0,25,0.6,0.6,1.0,0.75,15,10,0,0,0
"1D_MAX(extract,rag)",-1.0,0.25,25,0.64,0.625,1.0,0.769,15,9,0,1,1
"1D_MAX(extract,rag)",-1.0,0.5,25,0.64,0.625,1.0,0.769,15,9,0,1,1
"1D_MAX(extract,rag)",-1.0,0.75,25,0.64,0.625,1.0,0.769,15,9,0,1,1
"1D_MAX(extract,rag)",-1.0,1.0,25,0.64,0.625,1.0,0.769,15,9,0,1,1
"1D_MAX(extract,rag)",-1.0,1.25,25,0.64,0.625,1.0,0.769,15,9,0,1,1
"1D_MAX(extract,rag)",-1.0,1.5,25,0.64,0.625,1.0,0.769,15,9,0,1,1
"1D_MAX(extract,rag)",-1.0,1.75,25,0.64,0.625,1.0,0.769,15,9,0,1,1
"1D_MAX(extract,rag)",-1.0,2.0,25,0.64,0.625,1.0,0.769,15,9,0,1,1
"1D_MAX(extract,rag)",-1.0,2.25,25,0.64,0.625,1.0,0.769,15,9,0,1,1
"1D_MAX(extract,rag)",-1.0,2.5,25,0.64,0.625,1.0,0.769,15,9,0,1,1
"1D_MAX(extract,rag)",-1.0,2.75,25,0.92,0.882,1.0,0.938,15,2,0,8,8
"1D_MAX(extract,rag)",-1.0,3.0,25,0.92,0.882,1.0,0.938,15,2,0,8,8
"1D_MAX(extract,rag)",-1.0,3.25,25,0.92,0.882,1.0,0.938,15,2,0,8,8
"1D_MAX(extract,rag)",-1.0,3.5,25,0.92,0.882,1.0,0.938,15,2,0,8,8
"1D_MAX(extract,rag)",-1.0,3.75,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-1.0,4.0,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-1.0,4.25,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-1.0,4.5,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-1.0,4.75,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-1.0,5.0,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-1.0,5.25,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-1.0,5.5,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-1.0,5.75,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-1.0,6.0,25,0.88,0.875,0.933,0.903,14,2,1,8,9
"1D_MAX(extract,rag)",-1.0,6.25,25,0.84,0.867,0.867,0.867,13,2,2,8,10
"1D_MAX(extract,rag)",-1.0,6.5,25,0.84,0.867,0.867,0.867,13,2,2,8,10
"1D_MAX(extract,rag)",-1.0,6.75,25,0.84,0.867,0.867,0.867,13,2,2,8,10
"1D_MAX(extract,rag)",-1.0,7.0,25,0.84,0.867,0.867,0.867,13,2,2,8,10
"1D_MAX(extract,rag)",-1.0,7.25,25,0.36,0.333,0.067,0.111,1,2,14,8,22
"1D_MAX(extract,rag)",-1.0,7.5,25,0.36,0.333,0.067,0.111,1,2,14,8,22
"1D_MAX(extract,rag)",-1.0,7.75,25,0.36,0.333,0.067,0.111,1,2,14,8,22
"1D_MAX(extract,rag)",-1.0,8.0,25,0.36,0.333,0.067,0.111,1,2,14,8,22
"1D_MAX(extract,rag)",-1.0,8.25,25,0.4,0.0,0.0,0.0,0,0,15,10,25
"1D_MAX(extract,rag)",-1.0,8.5,25,0.4,0.0,0.0,0.0,0,0,15,10,25
"1D_MAX(extract,rag)",-1.0,8.75,25,0.4,0.0,0.0,0.0,0,0,15,10,25
"1D_MAX(extract,rag)",-1.0,9.0,25,0.4,0.0,0.0,0.0,0,0,15,10,25
